Trimestre;Parados
2002T1;2152,8
2002T2;2103,3
2002T3;2196,0
2002T4;2232,4
2003T1;2328,5
2003T2;2216,0
2003T3;2247,5
2003T4;2276,7
2004T1;2309,8
2004T2;2247,6
2004T3;2199,8
2004T4;2176,9
2005T1;2121,3
2005T2;1969,1
2005T3;1783,5
2005T4;1860,3
2006T1;1942,8
2006T2;1834,4
2006T3;1766,9
2006T4;1819,4
2007T1;1863,2
2007T2;1773,2
2007T3;1806,2
2007T4;1942,0
2008T1;2190,5
2008T2;2385,7
2008T3;2600,7
2008T4;3206,8
2009T1;4018,2
2009T2;4139,6
2009T3;4121,4
2009T4;4335,0
2010T1;4617,7
2010T2;4655,3
2010T3;4585,4
2010T4;4702,2
2011T1;4921,2
2011T2;4844,2
2011T3;4998,0
2011T4;5287,3
2012T1;5667,9
2012T2;5731,0
2012T3;5824,2
2012T4;6021,0
2013T1;6278,2
2013T2;6047,3
2013T3;5943,4
2013T4;5935,6
2014T1;5933,3
2014T2;5622,9
2014T3;5427,7
2014T4;5457,7
2015T1;5444,6
2015T2;5149,0
2015T3;4850,8
2015T4;4779,5
2016T1;4791,4
2016T2;4574,7
2016T3;4320,8
2016T4;4237,8
2017T1;4255,0
2017T2;3914,3
2017T3;3731,7
2017T4;3766,7
2018T1;3796,1
2018T2;3490,1
2018T3;3326,0
2018T4;3304,3
2019T1;3354,2
2019T2;3230,6
